TH?I KHÓA BI?U D? KI?N K? 20252 - C?P NH?T NGÀY 23.02.2026,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
K?,Tr??ng_Vi?n_Khoa,Mã_l?p,Mã_l?p_kèm,Mã_HP,Tên_HP,Tên_HP_Ti?ng_Anh,Kh?i_l??ng,Ghi_chú,Bu?i_s?,Th?,Th?i_gian,B?,KT,Kíp,Tu?n,Phòng,C?n_TN,SL?K,SL_Max,Tr?ng_thái,Lo?i_l?p,??t_m?,Mã_QL,TeachingType
20252,THKHSS,764175,764175,BF2703E,Thí nghi?m hóa sinh,Biochemistry Lab,2(0-0-4-4),HSE1,1,4,1315-1730,2,6,Chi?u,"28-32, 35-39",C10-107,NULL,0,17,Hu? l?p,TN,AB,ELITECH,
20252,THKHSS,764176,764176,BF2703E,Thí nghi?m hóa sinh,Biochemistry Lab,2(0-0-4-4),HSE2,1,5,0730-1145,2,6,Sáng,"28-32, 35-39",C10-107,NULL,17,17,?i?u ch?nh ?K,TN,AB,ELITECH,
20252,THKHSS,764177,764177,BF2703E,Thí nghi?m hóa sinh,Biochemistry Lab,2(0-0-4-4),HSE3,1,6,0730-1145,2,6,Sáng,"28-32, 35-39",C10-107,NULL,15,17,?i?u ch?nh ?K,TN,AB,ELITECH,
20252,THKHSS,766631,766631,BF2703E,Thí nghi?m hóa sinh,Biochemistry Lab,2(0-0-4-4),HSE4,1,6,1315-1730,2,6,Chi?u,"28-32, 35-39",C10-107,NULL,16,17,?i?u ch?nh ?K,TN,AB,ELITECH,
20252,THKHSS,766724,766724,BF2703E,Thí nghi?m hóa sinh,Biochemistry Lab,2(0-0-4-4),HSE5,1,7,1315-1730,2,6,Chi?u,"28-32, 35-39",C10-107,NULL,9,17,?i?u ch?nh ?K,TN,AB,ELITECH,
20252,THKHSS,764006,764006,BF3501,Thí nghi?m vi sinh v?t th?c ph?m,Laboratory Experiments in Food Microbiology,2(0-0-4-4),TPVS1,1,3,0730-1145,2,6,Sáng,"26-32, 35-39",C4-401A,NULL,16,17,?i?u ch?nh ?K,TN,AB,CT CHU?N,
20252,THKHSS,764007,764007,BF3501,Thí nghi?m vi sinh v?t th?c ph?m,Laboratory Experiments in Food Microbiology,2(0-0-4-4),TPVS2,1,4,0730-1145,2,6,Sáng,"26-32, 35-39",C4-401A,NULL,16,17,?i?u ch?nh ?K,TN,AB,CT CHU?N,
20252,THKHSS,764008,764008,BF3501,Thí nghi?m vi sinh v?t th?c ph?m,Laboratory Experiments in Food Microbiology,2(0-0-4-4),TPVS3,1,5,0730-1145,2,6,Sáng,"26-32, 35-39",C4-401A,NULL,17,17,?i?u ch?nh ?K,TN,AB,CT CHU?N,
20252,THKHSS,764009,764009,BF3501,Thí nghi?m vi sinh v?t th?c ph?m,Laboratory Experiments in Food Microbiology,2(0-0-4-4),TPVS4,1,6,0730-1145,2,6,Sáng,"26-32, 35-39",C4-401A,NULL,16,17,?i?u ch?nh ?K,TN,AB,CT CHU?N,
20252,THKHSS,764010,764010,BF3501,Thí nghi?m vi sinh v?t th?c ph?m,Laboratory Experiments in Food Microbiology,2(0-0-4-4),TPVS5,1,3,0730-1145,2,6,Sáng,"26-32, 35-39",C4-401B,NULL,14,17,?i?u ch?nh ?K,TN,AB,CT CHU?N,
20252,THKHSS,764011,764011,BF3501,Thí nghi?m vi sinh v?t th?c ph?m,Laboratory Experiments in Food Microbiology,2(0-0-4-4),TPVS6,1,4,0730-1145,2,6,Sáng,"26-32, 35-39",C4-401B,NULL,17,17,?i?u ch?nh ?K,TN,AB,CT CHU?N,
20252,THKHSS,764012,764012,BF3501,Thí nghi?m vi sinh v?t th?c ph?m,Laboratory Experiments in Food Microbiology,2(0-0-4-4),TPVS7,1,4,1315-1730,2,6,Chi?u,"26-32, 35-39",C4-401A,NULL,17,17,?i?u ch?nh ?K,TN,AB,CT CHU?N,
20252,THKHSS,764013,764013,BF3501,Thí nghi?m vi sinh v?t th?c ph?m,Laboratory Experiments in Food Microbiology,2(0-0-4-4),TPVS8,1,5,1315-1730,2,6,Chi?u,"26-32, 35-39",C4-401A,NULL,18,17,?i?u ch?nh ?K,TN,AB,CT CHU?N,
20252,THKHSS,764014,764014,BF3501,Thí nghi?m vi sinh v?t th?c ph?m,Laboratory Experiments in Food Microbiology,2(0-0-4-4),TPVS9,1,5,1315-1730,2,6,Chi?u,"26-32, 35-39",C4-401B,NULL,17,17,?i?u ch?nh ?K,TN,AB,CT CHU?N,
20252,THKHSS,169589,169589,BF3507,Hoá sinh,Biochemistry,4(4-0-0-8),Th?c ph?m-K69S,1,3,0645-1005,1,4,Sáng,"25-32,34-42",D9-302,NULL,80,80,?i?u ch?nh ?K,LT+BT,AB,CT CHU?N,
20252,THKHSS,169590,169590,BF3507,Hoá sinh,Biochemistry,4(4-0-0-8),Th?c ph?m-K69S,1,3,1015-1145,5,6,Sáng,"25-32,34-42",D9-302,NULL,80,80,?i?u ch?nh ?K,LT+BT,AB,CT CHU?N,
20252,THKHSS,169590,169590,BF3507,Hoá sinh,Biochemistry,4(4-0-0-8),Th?c ph?m-K69S,2,6,1015-1145,5,6,Sáng,"25-32,34-42",D4-206,NULL,80,80,?i?u ch?nh ?K,LT+BT,AB,CT CHU?N,
20252,THKHSS,169591,169591,BF3507,Hoá sinh,Biochemistry,4(4-0-0-8),Th?c ph?m-K69S,1,6,0645-1005,1,4,Sáng,"25-32,34-42",D4-206,NULL,78,80,?i?u ch?nh ?K,LT+BT,AB,CT CHU?N,
20252,THKHSS,169592,169592,BF3507,Hoá sinh,Biochemistry,4(4-0-0-8),Th?c ph?m-K69C,1,5,1230-1550,1,4,Chi?u,"25-32,34-42",D9-103,NULL,80,80,?i?u ch?nh ?K,LT+BT,AB,CT CHU?N,
20252,THKHSS,168254,168254,BF3507E,Hoá sinh,Biochemistry,4(4-0-0-8),**CTTT-Th?c ph?m-K69C,1,2,1410-1730,3,6,Chi?u,"25-32,34-42",D8-301,NULL,32,40,?i?u ch?nh ?K,LT+BT,AB,ELITECH,
20252,THKHSS,763999,763999,BF3508,Thí nghi?m hóa sinh,Laboratory Experiments in Biochemistry,2(0-0-4-4),TPHS1,1,5,1315-1730,2,6,Chi?u,"28-32, 35-39",C10-107,NULL,18,18,?i?u ch?nh ?K,TN,AB,CT CHU?N,
20252,THKHSS,764000,764000,BF3508,Thí nghi?m hóa sinh,Laboratory Experiments in Biochemistry,2(0-0-4-4),TPHS2,1,5,1315-1730,2,6,Chi?u,"28-32, 35-39",C10-108,NULL,2,17,Hu? l?p,TN,AB,CT CHU?N,
20252,THKHSS,764001,764001,BF3508,Thí nghi?m hóa sinh,Laboratory Experiments in Biochemistry,2(0-0-4-4),TPHS3,1,2,0730-1145,2,6,Sáng,"28-32, 35-39",C10-107,NULL,18,18,?i?u ch?nh ?K,TN,AB,CT CHU?N,
20252,THKHSS,764002,764002,BF3508,Thí nghi?m hóa sinh,Laboratory Experiments in Biochemistry,2(0-0-4-4),TPHS4,1,2,0730-1145,2,6,Sáng,"28-32, 35-39",C10-108,NULL,17,18,?i?u ch?nh ?K,TN,AB,CT CHU?N,
20252,THKHSS,764003,764003,BF3508,Thí nghi?m hóa sinh,Laboratory Experiments in Biochemistry,2(0-0-4-4),TPHS5,1,3,0730-1145,2,6,Sáng,"28-32, 35-39",C10-107,NULL,18,18,?i?u ch?nh ?K,TN,AB,CT CHU?N,
